"sens","spec","type","roc_type","study"
0.162162162162162,0.82,"random_mod","best","zeller"
0.162162162162162,0.84,"random_mod","best","zeller"
0.135135135135135,0.84,"random_mod","best","zeller"
0.135135135135135,0.86,"random_mod","best","zeller"
0.135135135135135,0.88,"random_mod","best","zeller"
0.108108108108108,0.9,"random_mod","best","zeller"
0.0810810810810811,0.9,"random_mod","best","zeller"
0.0540540540540541,0.9,"random_mod","best","zeller"
0.0540540540540541,0.92,"random_mod","best","zeller"
0.0540540540540541,0.94,"random_mod","best","zeller"
0.0540540540540541,0.96,"random_mod","best","zeller"
0.027027027027027,0.96,"random_mod","best","zeller"
0,0.96,"random_mod","best","zeller"
0,0.98,"random_mod","best","zeller"
0,1,"random_mod","best","zeller"
1,0,"random_mod","worst","zeller"
0.972972972972973,0,"random_mod","worst","zeller"
0.945945945945946,0,"random_mod","worst","zeller"
0.918918918918919,0,"random_mod","worst","zeller"
0.918918918918919,0.02,"random_mod","worst","zeller"
0.918918918918919,0.04,"random_mod","worst","zeller"
0.891891891891892,0.04,"random_mod","worst","zeller"
0.891891891891892,0.08,"random_mod","worst","zeller"
0.864864864864865,0.08,"random_mod","worst","zeller"
0.864864864864865,0.1,"random_mod","worst","zeller"
0.864864864864865,0.12,"random_mod","worst","zeller"
0.864864864864865,0.14,"random_mod","worst","zeller"
0.864864864864865,0.18,"random_mod","worst","zeller"
0.864864864864865,0.2,"random_mod","worst","zeller"
0.837837837837838,0.2,"random_mod","worst","zeller"
0.837837837837838,0.24,"random_mod","worst","zeller"
0.837837837837838,0.28,"random_mod","worst","zeller"
0.837837837837838,0.3,"random_mod","worst","zeller"
0.837837837837838,0.32,"random_mod","worst","zeller"
0.810810810810811,0.32,"random_mod","worst","zeller"
0.756756756756757,0.34,"random_mod","worst","zeller"
0.72972972972973,0.38,"random_mod","worst","zeller"
0.72972972972973,0.4,"random_mod","worst","zeller"
0.702702702702703,0.4,"random_mod","worst","zeller"
0.702702702702703,0.42,"random_mod","worst","zeller"
0.702702702702703,0.44,"random_mod","worst","zeller"
0.702702702702703,0.46,"random_mod","worst","zeller"
0.702702702702703,0.48,"random_mod","worst","zeller"
0.702702702702703,0.52,"random_mod","worst","zeller"
0.648648648648649,0.52,"random_mod","worst","zeller"
0.621621621621622,0.52,"random_mod","worst","zeller"
0.621621621621622,0.54,"random_mod","worst","zeller"
0.567567567567568,0.54,"random_mod","worst","zeller"
0.567567567567568,0.56,"random_mod","worst","zeller"
0.567567567567568,0.58,"random_mod","worst","zeller"
0.540540540540541,0.6,"random_mod","worst","zeller"
0.513513513513513,0.62,"random_mod","worst","zeller"
0.486486486486487,0.64,"random_mod","worst","zeller"
0.459459459459459,0.66,"random_mod","worst","zeller"
0.432432432432432,0.66,"random_mod","worst","zeller"
0.432432432432432,0.68,"random_mod","worst","zeller"
0.432432432432432,0.7,"random_mod","worst","zeller"
0.378378378378378,0.7,"random_mod","worst","zeller"
0.378378378378378,0.72,"random_mod","worst","zeller"
0.351351351351351,0.74,"random_mod","worst","zeller"
0.324324324324324,0.74,"random_mod","worst","zeller"
0.297297297297297,0.74,"random_mod","worst","zeller"
0.243243243243243,0.74,"random_mod","worst","zeller"
0.216216216216216,0.74,"random_mod","worst","zeller"
0.216216216216216,0.78,"random_mod","worst","zeller"
0.216216216216216,0.8,"random_mod","worst","zeller"
0.216216216216216,0.82,"random_mod","worst","zeller"
0.189189189189189,0.84,"random_mod","worst","zeller"
0.162162162162162,0.86,"random_mod","worst","zeller"
0.135135135135135,0.86,"random_mod","worst","zeller"
0.135135135135135,0.88,"random_mod","worst","zeller"
0.135135135135135,0.92,"random_mod","worst","zeller"
0.108108108108108,0.92,"random_mod","worst","zeller"
0.0810810810810811,0.92,"random_mod","worst","zeller"
0.0540540540540541,0.92,"random_mod","worst","zeller"
0.027027027027027,0.92,"random_mod","worst","zeller"
0.027027027027027,0.94,"random_mod","worst","zeller"
0,0.94,"random_mod","worst","zeller"
0,0.96,"random_mod","worst","zeller"
0,0.98,"random_mod","worst","zeller"
0,1,"random_mod","worst","zeller"
1,0,"actual_mod","best","baxter"
0.994949494949495,0.00581395348837209,"actual_mod","best","baxter"
0.994949494949495,0.0174418604651163,"actual_mod","best","baxter"
0.98989898989899,0.0174418604651163,"actual_mod","best","baxter"
0.984848484848485,0.0174418604651163,"actual_mod","best","baxter"
0.984848484848485,0.0232558139534884,"actual_mod","best","baxter"
0.97979797979798,0.0232558139534884,"actual_mod","best","baxter"
0.96969696969697,0.0232558139534884,"actual_mod","best","baxter"
0.964646464646465,0.0232558139534884,"actual_mod","best","baxter"
0.964646464646465,0.0290697674418605,"actual_mod","best","baxter"
0.964646464646465,0.0348837209302326,"actual_mod","best","baxter"
0.95959595959596,0.0406976744186047,"actual_mod","best","baxter"
0.94949494949495,0.0406976744186047,"actual_mod","best","baxter"
0.94949494949495,0.0581395348837209,"actual_mod","best","baxter"
0.939393939393939,0.0697674418604651,"actual_mod","best","baxter"
0.934343434343434,0.0813953488372093,"actual_mod","best","baxter"
0.924242424242424,0.0813953488372093,"actual_mod","best","baxter"
0.924242424242424,0.0988372093023256,"actual_mod","best","baxter"
0.919191919191919,0.11046511627907,"actual_mod","best","baxter"
0.914141414141414,0.127906976744186,"actual_mod","best","baxter"
0.914141414141414,0.13953488372093,"actual_mod","best","baxter"
0.909090909090909,0.145348837209302,"actual_mod","best","baxter"
0.904040404040404,0.151162790697674,"actual_mod","best","baxter"
0.883838383838384,0.156976744186047,"actual_mod","best","baxter"
0.878787878787879,0.156976744186047,"actual_mod","best","baxter"
0.873737373737374,0.174418604651163,"actual_mod","best","baxter"
0.853535353535353,0.174418604651163,"actual_mod","best","baxter"
0.853535353535353,0.186046511627907,"actual_mod","best","baxter"
0.848484848484849,0.186046511627907,"actual_mod","best","baxter"
0.833333333333333,0.191860465116279,"actual_mod","best","baxter"
0.833333333333333,0.203488372093023,"actual_mod","best","baxter"
0.823232323232323,0.209302325581395,"actual_mod","best","baxter"
0.818181818181818,0.209302325581395,"actual_mod","best","baxter"
0.797979797979798,0.215116279069767,"actual_mod","best","baxter"
0.787878787878788,0.215116279069767,"actual_mod","best","baxter"
0.772727272727273,0.226744186046512,"actual_mod","best","baxter"
0.752525252525252,0.238372093023256,"actual_mod","best","baxter"
0.742424242424242,0.244186046511628,"actual_mod","best","baxter"
0.732323232323232,0.244186046511628,"actual_mod","best","baxter"
0.727272727272727,0.255813953488372,"actual_mod","best","baxter"
0.712121212121212,0.255813953488372,"actual_mod","best","baxter"
0.696969696969697,0.255813953488372,"actual_mod","best","baxter"
0.691919191919192,0.261627906976744,"actual_mod","best","baxter"
0.686868686868687,0.273255813953488,"actual_mod","best","baxter"
0.681818181818182,0.273255813953488,"actual_mod","best","baxter"
0.681818181818182,0.296511627906977,"actual_mod","best","baxter"
0.676767676767677,0.302325581395349,"actual_mod","best","baxter"
0.676767676767677,0.308139534883721,"actual_mod","best","baxter"
0.676767676767677,0.319767441860465,"actual_mod","best","baxter"
0.676767676767677,0.331395348837209,"actual_mod","best","baxter"
0.661616161616162,0.348837209302326,"actual_mod","best","baxter"
0.661616161616162,0.36046511627907,"actual_mod","best","baxter"
0.656565656565657,0.372093023255814,"actual_mod","best","baxter"
0.651515151515151,0.372093023255814,"actual_mod","best","baxter"
0.646464646464647,0.372093023255814,"actual_mod","best","baxter"
0.646464646464647,0.377906976744186,"actual_mod","best","baxter"
0.641414141414141,0.383720930232558,"actual_mod","best","baxter"
0.631313131313131,0.383720930232558,"actual_mod","best","baxter"
0.631313131313131,0.38953488372093,"actual_mod","best","baxter"
0.631313131313131,0.395348837209302,"actual_mod","best","baxter"
0.616161616161616,0.401162790697674,"actual_mod","best","baxter"
0.611111111111111,0.412790697674419,"actual_mod","best","baxter"
0.606060606060606,0.430232558139535,"actual_mod","best","baxter"
0.595959595959596,0.430232558139535,"actual_mod","best","baxter"
0.595959595959596,0.436046511627907,"actual_mod","best","baxter"
0.585858585858586,0.436046511627907,"actual_mod","best","baxter"
0.580808080808081,0.436046511627907,"actual_mod","best","baxter"
0.580808080808081,0.441860465116279,"actual_mod","best","baxter"
0.580808080808081,0.447674418604651,"actual_mod","best","baxter"
0.560606060606061,0.453488372093023,"actual_mod","best","baxter"
0.555555555555556,0.453488372093023,"actual_mod","best","baxter"
0.555555555555556,0.459302325581395,"actual_mod","best","baxter"
0.545454545454545,0.476744186046512,"actual_mod","best","baxter"
0.545454545454545,0.488372093023256,"actual_mod","best","baxter"
0.54040404040404,0.5,"actual_mod","best","baxter"
0.54040404040404,0.505813953488372,"actual_mod","best","baxter"
0.535353535353535,0.505813953488372,"actual_mod","best","baxter"
0.535353535353535,0.511627906976744,"actual_mod","best","baxter"
0.535353535353535,0.523255813953488,"actual_mod","best","baxter"
0.535353535353535,0.534883720930233,"actual_mod","best","baxter"
0.53030303030303,0.534883720930233,"actual_mod","best","baxter"
0.53030303030303,0.546511627906977,"actual_mod","best","baxter"
0.525252525252525,0.546511627906977,"actual_mod","best","baxter"
0.52020202020202,0.546511627906977,"actual_mod","best","baxter"
0.515151515151515,0.546511627906977,"actual_mod","best","baxter"
0.51010101010101,0.546511627906977,"actual_mod","best","baxter"
0.51010101010101,0.552325581395349,"actual_mod","best","baxter"
0.5,0.552325581395349,"actual_mod","best","baxter"
0.494949494949495,0.552325581395349,"actual_mod","best","baxter"
0.494949494949495,0.558139534883721,"actual_mod","best","baxter"
0.48989898989899,0.558139534883721,"actual_mod","best","baxter"
0.484848484848485,0.558139534883721,"actual_mod","best","baxter"
0.47979797979798,0.558139534883721,"actual_mod","best","baxter"
0.474747474747475,0.558139534883721,"actual_mod","best","baxter"
0.46969696969697,0.558139534883721,"actual_mod","best","baxter"
0.464646464646465,0.558139534883721,"actual_mod","best","baxter"
0.464646464646465,0.563953488372093,"actual_mod","best","baxter"
0.45959595959596,0.563953488372093,"actual_mod","best","baxter"
0.454545454545455,0.563953488372093,"actual_mod","best","baxter"
0.454545454545455,0.569767441860465,"actual_mod","best","baxter"
0.44949494949495,0.575581395348837,"actual_mod","best","baxter"
0.444444444444444,0.575581395348837,"actual_mod","best","baxter"
0.439393939393939,0.575581395348837,"actual_mod","best","baxter"
0.439393939393939,0.581395348837209,"actual_mod","best","baxter"
0.439393939393939,0.587209302325581,"actual_mod","best","baxter"
0.434343434343434,0.587209302325581,"actual_mod","best","baxter"
0.429292929292929,0.598837209302326,"actual_mod","best","baxter"
0.424242424242424,0.604651162790698,"actual_mod","best","baxter"
0.414141414141414,0.604651162790698,"actual_mod","best","baxter"
0.409090909090909,0.61046511627907,"actual_mod","best","baxter"
0.404040404040404,0.616279069767442,"actual_mod","best","baxter"
0.398989898989899,0.616279069767442,"actual_mod","best","baxter"
0.398989898989899,0.622093023255814,"actual_mod","best","baxter"
0.393939393939394,0.622093023255814,"actual_mod","best","baxter"
0.388888888888889,0.622093023255814,"actual_mod","best","baxter"
0.373737373737374,0.633720930232558,"actual_mod","best","baxter"
0.368686868686869,0.633720930232558,"actual_mod","best","baxter"
0.363636363636364,0.63953488372093,"actual_mod","best","baxter"
0.358585858585859,0.645348837209302,"actual_mod","best","baxter"
0.353535353535354,0.651162790697674,"actual_mod","best","baxter"
0.338383838383838,0.662790697674419,"actual_mod","best","baxter"
0.313131313131313,0.680232558139535,"actual_mod","best","baxter"
0.313131313131313,0.703488372093023,"actual_mod","best","baxter"
0.313131313131313,0.709302325581395,"actual_mod","best","baxter"
0.313131313131313,0.720930232558139,"actual_mod","best","baxter"
0.303030303030303,0.732558139534884,"actual_mod","best","baxter"
0.292929292929293,0.738372093023256,"actual_mod","best","baxter"
0.287878787878788,0.744186046511628,"actual_mod","best","baxter"
0.282828282828283,0.755813953488372,"actual_mod","best","baxter"
0.262626262626263,0.767441860465116,"actual_mod","best","baxter"
0.257575757575758,0.767441860465116,"actual_mod","best","baxter"
0.257575757575758,0.773255813953488,"actual_mod","best","baxter"
0.242424242424242,0.790697674418605,"actual_mod","best","baxter"
0.232323232323232,0.802325581395349,"actual_mod","best","baxter"
0.217171717171717,0.813953488372093,"actual_mod","best","baxter"
0.212121212121212,0.825581395348837,"actual_mod","best","baxter"
0.186868686868687,0.831395348837209,"actual_mod","best","baxter"
0.181818181818182,0.831395348837209,"actual_mod","best","baxter"
0.176767676767677,0.837209302325581,"actual_mod","best","baxter"
0.171717171717172,0.843023255813954,"actual_mod","best","baxter"
0.156565656565657,0.843023255813954,"actual_mod","best","baxter"
0.136363636363636,0.843023255813954,"actual_mod","best","baxter"
0.131313131313131,0.86046511627907,"actual_mod","best","baxter"
0.121212121212121,0.872093023255814,"actual_mod","best","baxter"
0.106060606060606,0.872093023255814,"actual_mod","best","baxter"
0.095959595959596,0.883720930232558,"actual_mod","best","baxter"
0.095959595959596,0.895348837209302,"actual_mod","best","baxter"
0.095959595959596,0.901162790697674,"actual_mod","best","baxter"
0.0808080808080808,0.906976744186046,"actual_mod","best","baxter"
0.0757575757575758,0.906976744186046,"actual_mod","best","baxter"
0.0656565656565657,0.912790697674419,"actual_mod","best","baxter"
0.0606060606060606,0.930232558139535,"actual_mod","best","baxter"
0.0505050505050505,0.953488372093023,"actual_mod","best","baxter"
0.0454545454545455,0.953488372093023,"actual_mod","best","baxter"
0.0454545454545455,0.965116279069767,"actual_mod","best","baxter"
0.0404040404040404,0.965116279069767,"actual_mod","best","baxter"
0.0404040404040404,0.970930232558139,"actual_mod","best","baxter"
0.0303030303030303,0.970930232558139,"actual_mod","best","baxter"
0.0252525252525253,0.976744186046512,"actual_mod","best","baxter"
0.0202020202020202,0.976744186046512,"actual_mod","best","baxter"
0.0202020202020202,0.982558139534884,"actual_mod","best","baxter"
0.0151515151515152,0.982558139534884,"actual_mod","best","baxter"
0.0151515151515152,0.988372093023256,"actual_mod","best","baxter"
0.0151515151515152,0.994186046511628,"actual_mod","best","baxter"
0.0101010101010101,0.994186046511628,"actual_mod","best","baxter"
0.00505050505050505,0.994186046511628,"actual_mod","best","baxter"
0.00505050505050505,1,"actual_mod","best","baxter"
0,1,"actual_mod","best","baxter"
1,0,"actual_mod","worst","baxter"
1,0.00581395348837209,"actual_mod","worst","baxter"
1,0.0116279069767442,"actual_mod","worst","baxter"
1,0.0174418604651163,"actual_mod","worst","baxter"
0.994949494949495,0.0174418604651163,"actual_mod","worst","baxter"
0.984848484848485,0.0232558139534884,"actual_mod","worst","baxter"
0.97979797979798,0.0232558139534884,"actual_mod","worst","baxter"
0.96969696969697,0.0232558139534884,"actual_mod","worst","baxter"
0.96969696969697,0.0290697674418605,"actual_mod","worst","baxter"
0.964646464646465,0.0290697674418605,"actual_mod","worst","baxter"
0.964646464646465,0.0348837209302326,"actual_mod","worst","baxter"
0.95959595959596,0.0348837209302326,"actual_mod","worst","baxter"
0.944444444444444,0.0348837209302326,"actual_mod","worst","baxter"
0.939393939393939,0.0406976744186047,"actual_mod","worst","baxter"
