otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu1862,0.003333333333333334,0,0.005378787878787877,Firmicutes,Clostridiales,Clostridiales,weir
Otu2518,0.003333333333333334,0,0.006286868686868686,Firmicutes,Ruminococcaceae,Faecalibacterium,weir
Otu0611,0.003329004329004329,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu1809,0.0033142857142857145,0,0.0059454545454545454,Firmicutes,Clostridiales,Clostridiales,weir
Otu0039,0.003266666666666667,0,0.005707575757575755,Firmicutes,Veillonellaceae,Megamonas,weir
Otu0479,0.003266666666666667,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu0568,0.003266666666666667,0,0.005566666666666665,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu1814,0.003266666666666667,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu2554,0.003266666666666667,0,0.004974747474747474,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3049,0.003266666666666667,0,0.005287878787878786,Bacteroidetes,Porphyromonadaceae,Barnesiella,weir
Otu1376,0.0032142857142857147,0,0.006136363636363637,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0086,0.0032,0,0.005194805194805193,Proteobacteria,Enterobacteriaceae,Escherichia/Shigella,weir
Otu0098,0.0032,0,0.006570454545454545,Firmicutes,Streptococcaceae,Streptococcus,weir
Otu0168,0.0032,0,0.006337987012987013,Firmicutes,Peptostreptococcaceae,Peptostreptococcaceae,weir
Otu0392,0.0032,0,0.005787590187590187,Firmicutes,Clostridiales,Clostridiales,weir
Otu0582,0.0032,0,0.007066666666666667,Firmicutes,Clostridiales,Clostridiales,weir
Otu3529,0.0032,0,0.006378246753246753,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu2213,0.0031870129870129865,0,0.006292748917748917,Firmicutes,Clostridiales,Clostridiales,weir
Otu2217,0.0031870129870129865,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu3369,0.0031870129870129865,0,0.005872438672438671,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0577,0.003177272727272726,0,0.00651212121212121,Bacteroidetes,Porphyromonadaceae,Parabacteroides,weir
Otu2254,0.003177272727272726,0,0.0052121212121212105,Firmicutes,Clostridiales,Clostridiales,weir
Otu0421,0.003166666666666667,0,0.006369696969696968,Firmicutes,Clostridiales,Clostridiales,weir
Otu2533,0.003166666666666667,0,0.004909090909090908,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
