"measure","study","high_N","high_Y","low_N","low_Y"
"Lactonifactor","flemer",2,2,101,35
"Lactonifactor","lu",1,0,19,20
"Lactovum","flemer",0,1,103,36
"Lactovum","lu",1,0,19,20
"Leptotrichia","flemer",4,4,99,33
"Leptotrichia","lu",4,4,16,16
"Leptotrichiaceae_unclassified","flemer",0,0,103,37
"Leptotrichiaceae_unclassified","lu",10,10,10,10
"Leuconostoc","flemer",3,1,100,36
"Leuconostoc","lu",7,13,13,7
"Megamonas","flemer",10,0,93,37
"Megamonas","lu",6,7,14,13
"Megasphaera","flemer",9,7,94,30
"Megasphaera","lu",5,4,15,16
"Meiothermus","flemer",0,1,103,36
"Meiothermus","lu",0,1,20,19
"Methylobacterium","flemer",2,0,101,37
"Methylobacterium","lu",11,8,9,12
"Microbacteriaceae_unclassified","flemer",1,0,102,37
"Microbacteriaceae_unclassified","lu",5,7,15,13
"Micrococcaceae_unclassified","flemer",0,1,103,36
"Micrococcaceae_unclassified","lu",7,13,13,7
"Micrococcus","flemer",5,4,98,33
"Micrococcus","lu",4,4,16,16
"Micromonosporaceae_unclassified","flemer",1,0,102,37
"Micromonosporaceae_unclassified","lu",0,1,20,19
"Mitsuokella","flemer",6,1,97,36
"Mitsuokella","lu",0,1,20,19
"Mogibacterium","flemer",20,15,83,22
"Mogibacterium","lu",2,0,18,20
"Moraxella","flemer",2,0,101,37
"Moraxella","lu",2,1,18,19
"Morganella","flemer",4,1,99,36
"Morganella","lu",2,2,18,18
"Mycobacterium","flemer",0,1,103,36
"Mycobacterium","lu",6,4,14,16
"Myxococcales_unclassified","flemer",1,0,102,37
"Myxococcales_unclassified","lu",3,2,17,18
"Neisseria","flemer",16,10,87,27
"Neisseria","lu",8,12,12,8
"Neisseriaceae_unclassified","flemer",4,2,99,35
"Neisseriaceae_unclassified","lu",9,9,11,11
"Nocardioides","flemer",3,0,100,37
"Nocardioides","lu",2,1,18,19
"Novosphingobium","flemer",0,0,103,37
"Novosphingobium","lu",4,0,16,20
"Odoribacter","flemer",48,22,55,15
"Odoribacter","lu",9,10,11,10
"Oligosphaera","flemer",0,0,103,37
"Oligosphaera","lu",1,0,19,20
"Olsenella","flemer",7,2,96,35
"Olsenella","lu",1,1,19,19
"Oribacterium","flemer",11,5,92,32
"Oribacterium","lu",4,3,16,17
"Oscillibacter","flemer",43,27,60,10
"Oscillibacter","lu",11,9,9,11
"Oxalobacter","flemer",3,0,100,37
"Oxalobacter","lu",1,0,19,20
"Oxalobacteraceae_unclassified","flemer",9,6,94,31
"Oxalobacteraceae_unclassified","lu",3,7,17,13
"Parabacteroides","flemer",48,22,55,15
"Parabacteroides","lu",11,9,9,11
"Paracoccus","flemer",1,0,102,37
"Paracoccus","lu",7,13,13,7
"Paraprevotella","flemer",37,16,66,21
"Paraprevotella","lu",2,7,18,13
"Parasutterella","flemer",56,14,47,23
"Parasutterella","lu",11,9,9,11
"Parvimonas","flemer",19,15,84,22
"Parvimonas","lu",5,5,15,15
"Pasteurellaceae_unclassified","flemer",33,23,70,14
"Pasteurellaceae_unclassified","lu",7,7,13,13
"Pelomonas","flemer",0,1,103,36
"Pelomonas","lu",1,2,19,18
"Peptococcus","flemer",14,5,89,32
"Peptococcus","lu",4,2,16,18
"Peptoniphilus","flemer",14,5,89,32
"Peptoniphilus","lu",6,14,14,6
"Peptostreptococcaceae_unclassified","flemer",41,13,62,24
"Peptostreptococcaceae_unclassified","lu",6,2,14,18
"Peptostreptococcus","flemer",26,8,77,29
"Peptostreptococcus","lu",9,7,11,13
"Phascolarctobacterium","flemer",46,24,57,13
"Phascolarctobacterium","lu",9,11,11,9
"Planctomycetaceae_unclassified","flemer",0,0,103,37
"Planctomycetaceae_unclassified","lu",1,1,19,19
"Planococcaceae_unclassified","flemer",0,0,103,37
"Planococcaceae_unclassified","lu",3,8,17,12
"Porphyromonadaceae_unclassified","flemer",48,22,55,15
"Porphyromonadaceae_unclassified","lu",4,11,16,9
"Porphyromonas","flemer",23,10,80,27
"Porphyromonas","lu",10,10,10,10
"Prevotella","flemer",43,26,60,11
"Prevotella","lu",11,9,9,11
"Prevotellaceae_unclassified","flemer",43,27,60,10
"Prevotellaceae_unclassified","lu",8,8,12,12
"Propionibacterium","flemer",1,3,102,34
"Propionibacterium","lu",4,2,16,18
"Proteobacteria_unclassified","flemer",50,17,53,20
"Proteobacteria_unclassified","lu",9,11,11,9
"Proteus","flemer",0,3,103,34
"Proteus","lu",2,5,18,15
"Providencia","flemer",0,0,103,37
"Providencia","lu",2,5,18,15
"Pseudochrobactrum","flemer",0,0,103,37
"Pseudochrobactrum","lu",1,2,19,18
"Pseudoflavonifractor","flemer",21,3,82,34
"Pseudoflavonifractor","lu",1,0,19,20
"Pseudomonadaceae_unclassified","flemer",2,3,101,34
"Pseudomonadaceae_unclassified","lu",11,9,9,11
"Pseudomonas","flemer",9,12,94,25
"Pseudomonas","lu",8,12,12,8
"Pseudoxanthomonas","flemer",0,0,103,37
"Pseudoxanthomonas","lu",2,1,18,19
"Psychrobacter","flemer",1,0,102,37
"Psychrobacter","lu",8,12,12,8
"Puniceicoccaceae_unclassified","flemer",13,11,90,26
"Puniceicoccaceae_unclassified","lu",0,1,20,19
"Pyramidobacter","flemer",3,1,100,36
"Pyramidobacter","lu",1,4,19,16
"Ralstonia","flemer",0,0,103,37
"Ralstonia","lu",4,5,16,15
"Raoultella","flemer",2,0,101,37
"Raoultella","lu",2,1,18,19
